"日期","最新","開市","高","低","成交量","更改%"
"2013年5月14日","94.21","94.93","95.66","93.85","269.40K","-1.01"
"2013年5月13日","95.17","95.76","95.81","94.47","297.04K","-0.91"
"2013年5月10日","96.04","96.16","96.24","93.37","354.12K","-0.36"
"2013年5月9日","96.39","96.60","96.77","95.35","272.20K","-0.24"
"2013年5月8日","96.62","95.56","96.77","95.24","276.32K","1.05"
"2013年5月7日","95.62","95.79","96.26","94.92","260.14K","-0.56"
"2013年5月6日","96.16","95.58","97.17","94.85","271.00K","0.58"
"2013年5月3日","95.61","93.99","96.04","93.56","297.52K","1.72"
"2013年5月2日","93.99","91.00","94.25","90.65","310.81K","3.25"
"2013年5月1日","91.03","93.08","93.26","90.11","332.38K","-2.60"
"2013年4月30日","93.46","94.42","94.62","92.86","277.50K","-1.10"
"2013年4月29日","94.50","92.70","94.69","92.43","214.61K","1.61"
"2013年4月26日","93.00","93.24","93.58","92.06","240.97K","-0.68"
"2013年4月25日","93.64","91.58","93.87","91.11","270.12K","2.42"
"2013年4月24日","91.43","89.60","91.72","89.21","257.74K","2.52"
"2013年4月23日","89.18","89.28","89.60","87.80","288.80K","0.47"
"2013年4月22日","88.76","87.96","89.13","87.55","35.73K","0.85"
"2013年4月19日","88.01","88.37","88.79","87.56","100.65K","0.32"
"2013年4月18日","87.73","86.39","88.51","85.61","228.20K","1.21"
"2013年4月17日","86.68","88.80","89.09","86.06","294.27K","-2.30"
"2013年4月16日","88.72","87.42","88.96","86.06","287.41K","0.01"
"2013年4月15日","88.71","90.95","90.98","87.20","362.52K","-2.83"
"2013年4月12日","91.29","93.49","93.52","90.27","325.58K","-2.37"
"2013年4月11日","93.51","94.56","94.64","93.06","222.44K","-1.19"
"2013年4月10日","94.64","93.96","94.82","93.40","248.56K","0.47"
"2013年4月9日","94.20","93.49","94.48","92.86","234.72K","0.90"
"2013年4月8日","93.36","93.02","93.75","92.46","212.12K","0.71"
"2013年4月5日","92.70","93.36","93.57","91.91","267.28K","-0.60"
"2013年4月4日","93.26","94.50","94.84","92.12","355.32K","-1.26"
"2013年4月3日","94.45","96.93","96.96","94.18","302.24K","-2.82"
"2013年4月2日","97.19","97.00","97.44","95.91","209.88K","0.12"
"2013年4月1日","97.07","97.36","97.80","95.92","192.40K","-0.16"
"2013年3月28日","97.23","96.68","97.35","96.26","174.39K","0.67"
"2013年3月27日","96.58","96.18","96.84","95.58","207.78K","0.25"
"2013年3月26日","96.34","94.75","96.45","94.67","214.35K","1.61"
"2013年3月25日","94.81","93.72","95.65","93.70","270.65K","1.17"
"2013年3月22日","93.71","92.33","93.94","92.33","202.67K","1.36"
"2013年3月21日","92.45","93.40","93.53","91.84","214.13K","-0.55"
"2013年3月20日","92.96","92.09","93.28","92.09","27.76K","0.87"
"2013年3月19日","92.16","93.80","94.09","92.03","96.80K","-1.69"
"2013年3月18日","93.74","93.26","93.94","91.76","151.21K","0.31"
"2013年3月15日","93.45","93.15","93.84","93.00","175.61K","0.45"
"2013年3月14日","93.03","92.51","93.25","92.01","174.70K","0.55"
"2013年3月13日","92.52","92.62","93.40","91.91","251.34K","-0.02"
"2013年3月12日","92.54","91.94","93.47","91.60","283.11K","0.52"
"2013年3月11日","92.06","91.83","92.15","90.89","194.61K","0.12"
"2013年3月8日","91.95","91.42","92.03","90.83","219.96K","0.43"
"2013年3月7日","91.56","90.42","91.73","90.22","234.92K","1.25"
"2013年3月6日","90.43","90.83","91.17","89.55","244.17K","-0.43"
"2013年3月5日","90.82","90.23","90.99","90.02","209.87K","0.78"
"2013年3月4日","90.12","90.71","90.91","89.33","231.11K","-0.62"
"2013年3月1日","90.68","91.76","91.97","90.04","248.47K","-1.49"
"2013年2月28日","92.05","92.89","93.18","91.57","218.12K","-0.77"
"2013年2月27日","92.76","92.72","93.37","92.18","201.51K","0.14"
"2013年2月26日","92.63","91.92","93.44","91.92","230.84K","-0.52"
"2013年2月25日","93.11","93.23","94.46","92.07","217.52K","-0.02"
"2013年2月22日","93.13","92.96","93.48","92.44","204.26K","0.31"
"2013年2月21日","92.84","94.72","94.92","92.63","286.43K","-1.72"
"2013年2月20日","94.46","96.66","97.07","93.92","30.29K","-2.28"
"2013年2月19日","96.66","95.97","96.73","95.25","118.31K","0.83"
"2013年2月15日","95.86","97.34","97.47","95.21","223.59K","-1.49"
"2013年2月14日","97.31","97.17","97.71","96.77","174.60K","0.31"
"2013年2月13日","97.01","97.59","98.11","96.63","246.44K","-0.51"
"2013年2月12日","97.51","96.96","97.79","96.68","239.80K","0.49"
"2013年2月11日","97.03","95.79","97.09","94.97","283.96K","1.37"
"2013年2月8日","95.72","95.92","96.57","95.27","229.24K","-0.11"
"2013年2月7日","95.83","96.86","97.21","95.54","275.47K","-0.82"
"2013年2月6日","96.62","96.64","96.99","95.04","282.80K","-0.02"
"2013年2月5日","96.64","96.13","97.07","95.91","188.84K","0.49"
"2013年2月4日","96.17","97.72","97.76","95.89","196.98K","-1.64"
"2013年2月1日","97.77","97.42","98.15","96.51","270.28K","0.29"
"2013年1月31日","97.49","97.96","98.04","96.84","230.63K","-0.46"
"2013年1月30日","97.94","97.32","98.24","97.32","211.28K","0.38"
"2013年1月29日","97.57","96.46","97.82","96.29","252.93K","1.17"
"2013年1月28日","96.44","96.04","96.81","95.47","167.19K","0.58"
"2013年1月25日","95.88","95.95","96.56","95.43","184.87K","-0.07"
"2013年1月24日","95.95","95.50","96.68","95.12","232.04K","0.76"
"2013年1月23日","95.23","96.76","96.92","94.95","318.01K","-1.05"
"2013年1月22日","96.24","95.25","96.38","94.98","37.96K","0.71"
"2013年1月18日","95.56","95.19","95.67","94.91","118.55K","0.07"
"2013年1月17日","95.49","94.19","96.04","93.80","178.29K","1.33"
"2013年1月16日","94.24","93.40","94.36","93.10","241.53K","1.03"
"2013年1月15日","93.28","94.20","94.44","93.22","248.14K","-0.91"
"2013年1月14日","94.14","93.74","94.29","92.95","248.60K","0.62"
"2013年1月11日","93.56","93.87","94.13","92.65","257.82K","-0.28"
"2013年1月10日","93.82","93.19","94.70","93.08","279.30K","0.77"
"2013年1月9日","93.10","93.15","93.65","92.68","201.39K","-0.05"
"2013年1月8日","93.15","93.32","93.80","92.67","195.87K","-0.04"
"2013年1月7日","93.19","93.21","93.35","92.42","166.29K","0.11"
"2013年1月4日","93.09","92.86","93.21","91.52","210.75K","0.18"
"2013年1月3日","92.92","92.91","93.30","92.49","189.81K","-0.21"
"2013年1月2日","93.12","91.78","93.87","91.56","203.87K","1.42"
"","","","","","",""
"","最高:112.24","最低:85.61","差價:26.63","平均:98.05","更改%:7.19"
