"日期","最新","開市","高","低","成交量","更改%"
"2013年12月31日","98.42","99.25","99.39","98.15","113.91K","-0.88"
"2013年12月30日","99.29","100.15","100.42","99.13","118.36K","-1.03"
"2013年12月27日","100.32","99.63","100.75","99.37","127.20K","0.77"
"2013年12月26日","99.55","99.20","99.70","99.05","65.67K","0.33"
"2013年12月24日","99.22","98.62","99.30","98.53","51.88K","0.31"
"2013年12月23日","98.91","99.20","99.31","98.64","107.27K","-0.41"
"2013年12月20日","99.32","98.70","99.40","98.54","151.28K","0.56"
"2013年12月19日","98.77","97.69","99.17","97.50","23.58K","0.99"
"2013年12月18日","97.80","97.30","98.01","97.02","84.63K","0.60"
"2013年12月17日","97.22","97.30","97.90","97.00","120.13K","-0.27"
"2013年12月16日","97.48","96.55","97.69","96.21","187.59K","0.91"
"2013年12月13日","96.60","97.58","97.62","96.26","233.16K","-0.92"
"2013年12月12日","97.50","97.55","98.18","97.31","205.75K","0.06"
"2013年12月11日","97.44","98.65","98.75","97.20","274.19K","-1.09"
"2013年12月10日","98.51","97.25","98.74","97.24","264.84K","1.20"
"2013年12月9日","97.34","97.66","97.97","97.10","210.09K","-0.32"
"2013年12月6日","97.65","97.38","98.07","97.08","223.94K","0.28"
"2013年12月5日","97.38","97.33","97.99","97.01","216.39K","0.19"
"2013年12月4日","97.20","96.90","97.58","96.30","325.86K","1.21"
"2013年12月3日","96.04","93.86","96.96","93.67","319.27K","2.37"
"2013年12月2日","93.82","92.71","94.08","92.56","234.80K","1.19"
"2013年11月29日","92.72","92.33","93.90","92.06","143.21K","0.48"
"2013年11月28日","92.28","92.19","92.36","92.08","0","-0.03"
"2013年11月27日","92.30","93.50","93.60","91.77","230.88K","-1.47"
"2013年11月26日","93.68","94.21","94.69","93.43","160.18K","-0.44"
"2013年11月25日","94.09","94.15","94.50","93.08","270.86K","-0.79"
"2013年11月22日","94.84","95.29","95.57","94.05","257.84K","-0.63"
"2013年11月21日","95.44","93.73","95.63","93.47","222.14K","2.26"
"2013年11月20日","93.33","93.33","93.93","92.73","27.44K","-0.01"
"2013年11月19日","93.34","93.00","93.46","92.43","131.46K","0.33"
"2013年11月18日","93.03","93.78","94.30","92.72","169.44K","-0.86"
"2013年11月15日","93.84","93.89","94.55","93.58","204.37K","0.09"
"2013年11月14日","93.76","93.50","94.43","92.51","315.07K","-0.13"
"2013年11月13日","93.88","93.07","94.54","92.93","305.01K","0.90"
"2013年11月12日","93.04","95.00","95.22","92.86","353.69K","-2.21"
"2013年11月11日","95.14","94.45","95.38","94.11","206.72K","0.57"
"2013年11月8日","94.60","94.36","94.92","93.90","241.69K","0.42"
"2013年11月7日","94.20","94.91","95.31","93.80","260.60K","-0.63"
"2013年11月6日","94.80","93.74","95.40","93.65","282.72K","1.53"
"2013年11月5日","93.37","94.47","94.90","93.07","226.45K","-1.32"
"2013年11月4日","94.62","94.52","95.11","94.06","219.11K","0.01"
"2013年11月1日","94.61","96.32","96.65","94.36","282.14K","-1.84"
"2013年10月31日","96.38","96.62","97.03","96.03","255.40K","-0.40"
"2013年10月30日","96.77","97.77","97.82","96.55","268.14K","-1.46"
"2013年10月29日","98.20","98.54","98.57","97.69","183.24K","-0.49"
"2013年10月28日","98.68","97.88","98.82","97.37","230.16K","0.85"
"2013年10月25日","97.85","97.19","98.06","96.99","192.63K","0.76"
"2013年10月24日","97.11","97.10","97.69","95.95","248.74K","0.26"
"2013年10月23日","96.86","98.12","98.29","96.16","356.19K","-0.96"
"2013年10月22日","97.80","99.06","99.77","97.50","30.73K","-1.43"
"2013年10月21日","99.22","100.63","100.95","98.98","90.82K","-1.58"
"2013年10月18日","100.81","100.72","101.71","100.51","116.68K","0.14"
"2013年10月17日","100.67","102.13","102.32","100.03","266.63K","-1.58"
"2013年10月16日","102.29","100.88","102.97","100.75","235.24K","1.07"
"2013年10月15日","101.21","102.19","102.46","100.87","240.22K","-1.17"
"2013年10月14日","102.41","101.37","102.62","101.06","170.67K","0.38"
"2013年10月11日","102.02","102.94","102.95","100.60","298.22K","-0.96"
"2013年10月10日","103.01","101.46","103.57","101.16","296.86K","1.38"
"2013年10月9日","101.61","103.49","103.75","101.18","283.13K","-1.82"
"2013年10月8日","103.49","103.16","104.08","102.85","194.20K","0.45"
"2013年10月7日","103.03","103.45","103.74","101.86","269.03K","-0.78"
"2013年10月4日","103.84","102.92","104.19","102.90","165.20K","0.51"
"2013年10月3日","103.31","103.82","104.38","102.87","226.23K","-0.76"
"2013年10月2日","104.10","101.62","104.23","101.43","300.53K","2.02"
"2013年10月1日","102.04","102.31","102.58","101.06","223.03K","-0.28"
"2013年9月30日","102.33","102.46","102.76","101.05","226.71K","-0.52"
"2013年9月27日","102.87","102.91","103.77","102.36","232.30K","-0.16"
"2013年9月26日","103.03","102.30","103.29","102.20","183.78K","0.36"
"2013年9月25日","102.66","103.41","103.96","102.20","236.20K","-0.46"
"2013年9月24日","103.13","103.44","103.64","102.30","259.54K","-0.44"
"2013年9月23日","103.59","104.89","105.12","103.12","223.39K","-1.04"
"2013年9月20日","104.68","106.37","106.46","104.32","39.27K","-1.61"
"2013年9月19日","106.39","108.22","108.99","106.08","139.84K","-1.55"
"2013年9月18日","108.07","105.53","108.49","105.32","199.89K","2.51"
"2013年9月17日","105.42","106.22","106.43","104.94","304.85K","-1.10"
"2013年9月16日","106.59","107.50","108.00","106.06","282.89K","-1.50"
"2013年9月13日","108.21","108.64","108.74","107.23","207.04K","-0.36"
"2013年9月12日","108.60","107.77","109.16","107.30","249.78K","0.97"
"2013年9月11日","107.56","107.36","108.09","106.53","238.24K","0.16"
"2013年9月10日","107.39","108.92","108.95","106.39","325.31K","-1.94"
"2013年9月9日","109.52","110.28","110.46","108.76","266.92K","-0.91"
"2013年9月6日","110.53","108.52","110.70","108.12","269.87K","1.99"
"2013年9月5日","108.37","107.59","108.54","107.13","184.89K","1.06"
"2013年9月4日","107.23","108.44","108.61","106.77","224.38K","-1.21"
"2013年9月3日","108.54","107.07","108.83","104.21","288.02K","1.68"
"2013年9月2日","106.75","105.91","107.29","105.86","0","-0.84"
"2013年8月30日","107.65","108.17","108.75","106.75","239.63K","-1.06"
"2013年8月29日","108.80","109.53","110.07","107.72","250.04K","-1.18"
"2013年8月28日","110.10","109.22","112.24","109.11","336.17K","1.00"
"2013年8月27日","109.01","106.14","109.32","105.88","295.93K","2.92"
"2013年8月26日","105.92","106.91","107.37","105.56","166.00K","-0.47"
"2013年8月23日","106.42","105.22","106.94","104.30","259.55K","1.32"
"2013年8月22日","105.03","103.86","105.25","103.53","204.69K","1.14"
"2013年8月21日","103.85","105.18","105.35","103.50","259.24K","-1.07"
"2013年8月20日","104.97","106.93","107.10","104.50","39.88K","-1.99"
"2013年8月19日","107.10","107.78","107.80","106.56","102.78K","-0.34"
"2013年8月16日","107.46","107.18","108.17","106.56","179.86K","0.12"
"2013年8月15日","107.33","106.98","107.87","106.60","251.87K","0.45"
"2013年8月14日","106.85","106.54","107.06","105.60","270.92K","0.02"
"2013年8月13日","106.83","106.15","107.20","105.56","276.77K","0.68"
"2013年8月12日","106.11","105.84","106.46","105.03","257.14K","0.13"
"2013年8月9日","105.97","103.87","106.24","103.62","303.80K","2.49"
"2013年8月8日","103.40","104.18","104.96","102.22","320.07K","-0.93"
"2013年8月7日","104.37","105.68","105.77","104.10","294.24K","-0.88"
"2013年8月6日","105.30","106.48","107.27","104.86","273.00K","-1.18"
"2013年8月5日","106.56","106.84","107.69","105.70","204.86K","-0.36"
"2013年8月2日","106.94","107.80","108.82","106.45","249.31K","-0.88"
"2013年8月1日","107.89","105.26","108.06","105.10","267.59K","2.72"
"2013年7月31日","105.03","103.15","105.43","102.93","299.13K","1.89"
"2013年7月30日","103.08","104.52","104.54","102.67","235.61K","-1.41"
"2013年7月29日","104.55","104.61","105.37","103.87","206.33K","-0.14"
"2013年7月26日","104.70","105.56","105.63","103.90","208.86K","-0.75"
"2013年7月25日","105.49","105.37","105.87","104.08","270.58K","0.09"
"2013年7月24日","105.39","107.36","107.52","104.79","278.26K","-1.72"
"2013年7月23日","107.23","107.00","107.55","105.46","241.64K","0.30"
"2013年7月22日","106.91","108.34","108.79","106.43","29.38K","-1.06"
"2013年7月19日","108.05","108.12","109.32","107.48","112.37K","0.01"
"2013年7月18日","108.04","106.56","108.43","106.15","155.96K","1.47"
"2013年7月17日","106.48","105.78","106.60","105.11","262.79K","0.45"
"2013年7月16日","106.00","106.44","107.18","105.66","250.92K","-0.30"
"2013年7月15日","106.32","106.05","106.63","104.65","210.81K","0.35"
"2013年7月12日","105.95","104.58","106.33","104.36","234.76K","0.99"
"2013年7月11日","104.91","106.15","107.45","104.31","316.73K","-1.51"
"2013年7月10日","106.52","104.57","106.66","104.21","404.82K","2.89"
"2013年7月9日","103.53","103.00","104.76","102.31","285.67K","0.38"
"2013年7月8日","103.14","103.95","104.12","102.13","253.20K","-0.08"
"2013年7月5日","103.22","101.09","103.68","100.71","256.03K","1.79"
"2013年7月4日","101.40","101.27","101.57","100.71","0","0.16"
"2013年7月3日","101.24","99.61","102.18","99.59","353.25K","1.65"
"2013年7月2日","99.60","98.06","99.87","97.78","285.78K","1.64"
"2013年7月1日","97.99","96.58","98.28","96.07","229.19K","1.48"
"2013年6月28日","96.56","96.81","97.82","96.33","247.61K","-0.50"
"2013年6月27日","97.05","95.52","97.41","95.35","269.31K","1.62"
"2013年6月26日","95.50","95.17","95.70","93.68","291.42K","0.19"
"2013年6月25日","95.32","95.02","96.17","94.59","267.54K","0.15"
"2013年6月24日","95.18","93.85","95.59","92.67","315.82K","1.59"
"2013年6月21日","93.69","94.96","95.84","93.12","340.90K","-1.79"
"2013年6月20日","95.40","98.02","98.03","94.89","26.73K","-2.89"
"2013年6月19日","98.24","98.59","99.01","97.57","111.30K","-0.20"
"2013年6月18日","98.44","97.93","98.67","97.41","145.62K","0.69"
"2013年6月17日","97.77","97.85","98.74","97.38","242.79K","-0.08"
"2013年6月14日","97.85","96.64","98.25","96.42","240.91K","1.20"
"2013年6月13日","96.69","95.77","96.92","95.02","224.45K","0.84"
"2013年6月12日","95.88","94.89","96.45","94.46","244.87K","0.52"
"2013年6月11日","95.38","95.76","95.91","94.04","257.47K","-0.41"
"2013年6月10日","95.77","96.09","96.25","95.19","234.60K","-0.27"
"2013年6月7日","96.03","94.72","96.39","93.72","330.83K","1.34"
"2013年6月6日","94.76","93.70","95.32","93.69","267.16K","1.09"
"2013年6月5日","93.74","93.86","94.48","93.41","268.91K","0.46"
"2013年6月4日","93.31","93.35","94.41","92.38","301.14K","-0.15"
"2013年6月3日","93.45","91.73","93.70","91.26","287.47K","1.61"
"2013年5月31日","91.97","93.64","93.85","91.56","267.98K","-1.75"
"2013年5月30日","93.61","92.89","93.99","91.65","294.86K","0.52"
"2013年5月29日","93.13","95.05","95.22","92.83","293.46K","-1.98"
"2013年5月28日","95.01","93.89","95.92","93.23","240.99K","1.25"
"2013年5月27日","93.83","93.54","94.03","93.25","0","-0.33"
"2013年5月24日","94.15","94.37","94.39","93.04","203.99K","-0.11"
"2013年5月23日","94.25","94.18","94.46","92.21","323.63K","-0.03"
"2013年5月22日","94.28","95.90","96.19","94.01","336.50K","-1.96"
"2013年5月21日","96.16","96.70","96.97","95.50","0","-0.57"
"2013年5月20日","96.71","95.93","97.11","95.23","118.62K","0.72"
"2013年5月17日","96.02","95.15","96.45","94.79","187.75K","0.90"
"2013年5月16日","95.16","94.34","95.57","93.23","297.86K","0.91"
"2013年5月15日","94.30","94.13","94.44","92.13","360.68K","0.10"
