"日期","最新","開市","高","低","成交量","更改%"
"2003年12月31日","32.52","32.88","33.20","32.30","66.69K","-0.82"
"2003年12月30日","32.79","32.40","33.03","32.38","53.72K","1.20"
"2003年12月29日","32.40","32.75","32.75","32.10","46.73K","-1.40"
"2003年12月24日","32.86","32.06","33.00","31.88","60.08K","2.85"
"2003年12月23日","31.95","31.85","32.00","31.25","59.36K","0.25"
"2003年12月22日","31.87","32.90","32.99","31.75","82.03K","-3.48"
"2003年12月19日","33.02","33.65","33.93","32.80","36.84K","-2.05"
"2003年12月18日","33.71","33.37","33.90","32.90","54.04K","1.08"
"2003年12月17日","33.35","32.85","33.77","32.80","45.39K","1.40"
"2003年12月16日","32.89","33.17","33.35","32.70","64.23K","-0.87"
"2003年12月15日","33.18","32.04","33.32","31.74","97.77K","0.42"
"2003年12月12日","33.04","31.97","33.20","31.87","98.95K","3.74"
"2003年12月11日","31.85","31.91","32.10","31.35","75.90K","-0.09"
"2003年12月10日","31.88","31.71","32.63","31.50","102.94K","0.38"
"2003年12月9日","31.76","32.09","32.30","31.60","88.91K","-1.06"
"2003年12月8日","32.10","30.66","32.43","30.63","101.29K","4.46"
"2003年12月5日","30.73","31.23","31.28","30.68","74.63K","-1.70"
"2003年12月4日","31.26","31.10","31.65","30.43","100.18K","0.51"
"2003年12月3日","31.10","30.80","31.18","30.35","80.92K","1.04"
"2003年12月2日","30.78","29.94","30.97","29.80","95.51K","2.77"
"2003年12月1日","29.95","30.26","30.35","29.66","67.10K","-1.51"
"2003年11月26日","30.41","29.75","30.45","29.75","81.12K","2.15"
"2003年11月25日","29.77","29.90","30.14","29.30","123.18K","0.10"
"2003年11月24日","29.74","31.47","31.47","29.65","124.08K","-5.92"
"2003年11月21日","31.61","31.75","32.27","31.42","81.96K","-3.80"
"2003年11月20日","32.86","32.90","33.55","32.50","54.50K","-0.18"
"2003年11月19日","32.92","33.20","33.50","32.70","92.33K","-1.08"
"2003年11月18日","33.28","31.67","33.35","31.38","74.24K","4.88"
"2003年11月17日","31.73","32.37","32.37","31.53","78.25K","-1.98"
"2003年11月14日","32.37","31.90","32.50","31.81","89.47K","1.47"
"2003年11月13日","31.90","31.31","31.95","30.95","104.20K","1.82"
"2003年11月12日","31.33","31.15","31.35","30.75","92.22K","0.58"
"2003年11月11日","31.15","30.92","31.23","30.68","68.44K","0.87"
"2003年11月10日","30.88","31.14","31.29","30.63","63.43K","0.10"
"2003年11月7日","30.85","30.27","31.14","30.22","96.47K","1.95"
"2003年11月6日","30.26","30.25","30.70","29.96","101.79K","-0.13"
"2003年11月5日","30.30","28.77","30.38","28.70","126.76K","5.39"
"2003年11月4日","28.75","28.77","28.90","28.47","53.56K","-0.52"
"2003年11月3日","28.90","29.13","29.55","28.80","62.83K","-0.72"
"2003年10月31日","29.11","28.50","29.15","28.47","70.84K","2.25"
"2003年10月30日","28.47","28.95","28.98","28.26","94.68K","-1.52"
"2003年10月29日","28.91","29.55","29.99","28.80","120.12K","-2.20"
"2003年10月28日","29.56","29.88","29.99","29.52","77.44K","-1.20"
"2003年10月27日","29.92","30.10","30.32","29.70","66.22K","-0.80"
"2003年10月24日","30.16","30.34","30.80","29.88","82.75K","-0.46"
"2003年10月23日","30.30","29.92","30.37","29.40","99.01K","1.27"
"2003年10月22日","29.92","30.28","30.65","29.87","93.90K","-0.86"
"2003年10月21日","30.18","30.33","30.65","30.05","33.46K","-0.56"
"2003年10月20日","30.35","30.67","30.67","29.72","38.28K","-1.08"
"2003年10月17日","30.68","31.50","31.54","29.90","55.59K","-2.73"
"2003年10月16日","31.54","31.77","32.00","31.30","54.04K","-0.72"
"2003年10月15日","31.77","31.78","32.05","31.51","47.67K","-0.16"
"2003年10月14日","31.82","31.90","32.49","31.50","79.14K","-0.41"
"2003年10月13日","31.95","31.97","32.05","31.60","54.87K","-0.06"
"2003年10月10日","31.97","31.05","32.60","30.81","105.37K","3.10"
"2003年10月9日","31.01","29.80","31.20","29.48","92.47K","4.03"
"2003年10月8日","29.81","30.44","30.50","29.45","90.27K","-1.97"
"2003年10月7日","30.41","30.47","30.58","30.08","74.84K","-0.20"
"2003年10月6日","30.47","30.51","30.80","30.32","63.04K","0.23"
"2003年10月3日","30.40","29.82","30.44","29.47","82.09K","1.88"
"2003年10月2日","29.84","29.50","29.98","29.31","69.89K","1.53"
"2003年10月1日","29.39","29.15","29.43","28.85","87.29K","0.65"
"2003年9月30日","29.20","28.38","29.38","28.31","101.28K","2.82"
"2003年9月29日","28.40","28.24","28.62","28.24","48.53K","0.85"
"2003年9月26日","28.16","28.30","28.37","27.87","53.66K","-0.46"
"2003年9月25日","28.29","28.24","28.70","28.18","66.07K","0.18"
"2003年9月24日","28.24","27.15","28.59","26.93","108.96K","4.09"
"2003年9月23日","27.13","27.15","27.69","27.10","72.92K","0.63"
"2003年9月22日","26.96","26.97","27.28","26.75","39.45K","-0.26"
"2003年9月19日","27.03","27.14","27.28","26.65","58.55K","-0.52"
"2003年9月18日","27.17","27.02","27.30","26.66","59.32K","0.52"
"2003年9月17日","27.03","27.56","27.73","26.80","74.60K","-1.92"
"2003年9月16日","27.56","28.14","28.25","27.36","67.04K","-2.06"
"2003年9月15日","28.14","28.30","28.45","27.85","62.90K","-0.46"
"2003年9月12日","28.27","28.85","29.14","27.85","97.63K","-1.91"
"2003年9月11日","28.82","29.40","29.52","28.70","66.85K","-1.81"
"2003年9月10日","29.35","29.20","29.42","28.60","86.41K","0.58"
"2003年9月9日","29.18","28.87","29.25","28.76","64.56K","1.14"
"2003年9月8日","28.85","28.93","29.39","28.55","89.49K","-0.10"
"2003年9月5日","28.88","28.96","29.10","28.65","61.63K","-0.35"
"2003年9月4日","28.98","29.45","29.60","28.51","111.97K","-1.73"
"2003年9月3日","29.49","29.50","29.87","29.15","93.34K","0.27"
"2003年9月2日","29.41","31.28","31.40","29.25","162.82K","-6.84"
"2003年8月29日","31.57","31.45","32.05","31.40","3.81K","0.22"
"2003年8月28日","31.50","31.23","31.65","31.12","70.88K","0.93"
"2003年8月27日","31.21","31.95","32.07","31.10","84.06K","-2.32"
"2003年8月26日","31.95","31.50","32.05","31.35","73.74K","1.24"
"2003年8月25日","31.56","31.94","32.30","31.35","61.37K","-0.88"
"2003年8月22日","31.84","31.95","32.10","31.70","56.11K","-0.13"
"2003年8月21日","31.88","31.00","32.40","31.00","109.83K","3.00"
"2003年8月20日","30.95","30.75","31.20","30.44","40.39K","0.81"
"2003年8月19日","30.70","30.89","31.08","30.36","67.65K","-0.62"
"2003年8月18日","30.89","31.31","31.60","30.80","54.16K","-0.52"
"2003年8月15日","31.05","31.20","31.51","30.63","60.48K","-0.13"
