"日期","最新","開市","高","低","成交量","更改%"
"2008年12月31日","44.60","39.17","45.54","36.94","188.60K","14.27"
"2008年12月30日","39.03","40.01","40.39","37.93","137.26K","-2.47"
"2008年12月29日","40.02","38.40","42.20","37.53","150.60K","6.13"
"2008年12月26日","37.71","35.70","38.03","35.60","64.55K","6.68"
"2008年12月24日","35.35","39.15","39.69","35.13","93.38K","-9.31"
"2008年12月23日","38.98","39.55","40.65","37.79","146.20K","-2.33"
"2008年12月22日","39.91","42.79","43.44","39.50","149.14K","17.83"
"2008年12月19日","33.87","36.26","37.59","32.40","24.69K","-6.49"
"2008年12月18日","36.22","40.32","40.90","35.98","96.00K","-9.59"
"2008年12月17日","40.06","43.75","45.50","39.88","174.26K","-8.12"
"2008年12月16日","43.60","44.95","46.53","42.56","259.90K","-2.04"
"2008年12月15日","44.51","46.77","50.05","44.10","256.31K","-3.82"
"2008年12月12日","46.28","47.00","47.51","43.32","291.63K","-3.54"
"2008年12月11日","47.98","44.05","49.12","43.28","317.27K","10.25"
"2008年12月10日","43.52","42.40","46.17","41.89","362.39K","3.45"
"2008年12月9日","42.07","44.05","44.57","41.83","240.87K","-3.75"
"2008年12月8日","43.71","41.64","44.70","41.55","289.53K","7.11"
"2008年12月5日","40.81","43.78","44.47","40.50","327.14K","-6.55"
"2008年12月4日","43.67","47.00","47.27","43.36","232.45K","-6.67"
"2008年12月3日","46.79","47.76","48.10","46.26","217.57K","-0.36"
"2008年12月2日","46.96","48.85","50.25","46.82","233.25K","-4.71"
"2008年12月1日","49.28","54.62","54.62","48.62","217.05K","-9.46"
"2008年11月28日","54.43","54.30","55.98","51.12","129.16K","-0.02"
"2008年11月26日","54.44","50.65","54.97","50.15","243.44K","7.23"
"2008年11月25日","50.77","54.30","54.66","50.52","228.41K","-6.84"
"2008年11月24日","54.50","50.97","55.30","48.80","233.07K","9.15"
"2008年11月21日","49.93","48.57","51.12","48.25","213.65K","0.62"
"2008年11月20日","49.62","53.10","53.30","48.50","38.95K","-7.46"
"2008年11月19日","53.62","54.70","55.34","52.79","161.38K","-1.42"
"2008年11月18日","54.39","55.01","55.98","53.96","189.69K","-1.02"
"2008年11月17日","54.95","56.74","58.98","54.72","337.54K","-3.66"
"2008年11月14日","57.04","59.39","59.96","55.69","245.86K","-2.06"
"2008年11月13日","58.24","55.44","59.66","54.67","322.69K","3.70"
"2008年11月12日","56.16","59.00","59.50","55.50","261.42K","-5.34"
"2008年11月11日","59.33","62.14","62.28","58.32","258.31K","-4.94"
"2008年11月10日","62.41","61.80","65.56","59.10","286.65K","2.24"
"2008年11月7日","61.04","60.67","62.82","59.97","236.05K","0.44"
"2008年11月6日","60.77","65.02","65.50","60.16","292.02K","-6.94"
"2008年11月5日","65.30","70.00","70.46","65.00","272.47K","-7.42"
"2008年11月4日","70.53","63.80","71.77","62.25","329.19K","10.36"
"2008年11月3日","63.91","67.37","69.19","63.63","236.43K","-5.75"
"2008年10月31日","67.81","65.58","68.60","63.12","256.88K","2.80"
"2008年10月30日","65.96","68.11","70.60","64.04","279.20K","-2.28"
"2008年10月29日","67.50","64.50","69.24","63.65","315.42K","7.60"
"2008年10月28日","62.73","62.24","65.20","61.61","222.08K","-0.78"
"2008年10月27日","63.22","64.78","65.77","61.30","234.15K","-1.45"
"2008年10月24日","64.15","69.42","69.50","62.65","253.81K","-5.44"
"2008年10月23日","67.84","67.21","69.42","65.90","256.89K","1.63"
"2008年10月22日","66.75","71.47","71.80","66.20","272.32K","-5.84"
"2008年10月21日","70.89","75.62","75.69","69.77","24.68K","-4.53"
"2008年10月20日","74.25","72.16","76.12","71.77","137.30K","3.34"
"2008年10月17日","71.85","72.30","74.30","69.84","141.91K","2.86"
"2008年10月16日","69.85","73.60","74.50","68.57","283.09K","-6.29"
"2008年10月15日","74.54","78.75","79.17","73.55","221.14K","-5.20"
"2008年10月14日","78.63","82.00","84.83","78.31","266.14K","-3.15"
"2008年10月13日","81.19","80.12","82.52","79.45","210.71K","4.49"
"2008年10月10日","77.70","84.93","85.13","77.09","364.00K","-10.27"
"2008年10月9日","86.59","88.80","89.82","84.19","248.21K","-2.65"
"2008年10月8日","88.95","89.56","90.99","86.05","339.34K","-1.23"
"2008年10月7日","90.06","88.96","93.02","87.87","342.92K","2.56"
"2008年10月6日","87.81","92.50","92.68","87.56","281.99K","-6.47"
"2008年10月3日","93.88","93.85","96.03","91.30","238.98K","-0.10"
"2008年10月2日","93.97","98.73","100.37","93.56","223.27K","-4.63"
"2008年10月1日","98.53","101.86","102.84","95.95","280.30K","-2.10"
"2008年9月30日","100.64","95.40","102.46","93.36","252.74K","4.43"
"2008年9月29日","96.37","106.89","106.91","95.04","248.52K","-9.84"
"2008年9月26日","106.89","107.70","108.11","104.25","168.45K","-1.05"
"2008年9月25日","108.02","105.53","108.67","103.22","245.16K","2.17"
"2008年9月24日","105.73","106.93","109.50","104.80","233.42K","-0.83"
"2008年9月23日","106.61","108.98","109.58","104.05","316.03K","-11.83"
"2008年9月22日","120.92","104.97","130.00","103.35","41.53K","15.66"
"2008年9月19日","104.55","97.95","105.25","97.39","184.77K","6.81"
"2008年9月18日","97.88","97.10","102.24","95.73","243.36K","0.74"
"2008年9月17日","97.16","92.81","97.63","91.36","343.69K","6.59"
"2008年9月16日","91.15","94.23","94.32","90.51","327.16K","-4.76"
"2008年9月15日","95.71","101.00","101.19","94.00","334.90K","-5.41"
"2008年9月12日","101.18","101.15","102.89","99.99","273.12K","0.31"
"2008年9月11日","100.87","102.78","103.95","100.10","311.51K","-1.67"
"2008年9月10日","102.58","102.20","104.97","101.36","331.52K","-0.66"
"2008年9月9日","103.26","106.66","106.77","101.74","332.46K","-2.90"
"2008年9月8日","106.34","107.75","109.89","104.70","317.92K","0.10"
"2008年9月5日","106.23","107.48","108.10","105.13","249.11K","-1.54"
"2008年9月4日","107.89","109.40","110.60","106.52","264.19K","-1.34"
"2008年9月3日","109.35","110.24","110.30","107.22","247.58K","-0.33"
"2008年9月2日","109.71","116.65","118.60","105.46","389.71K","-4.98"
"2008年8月29日","115.46","115.75","118.76","115.00","216.48K","-0.11"
"2008年8月28日","115.59","118.16","120.50","114.08","272.32K","-2.17"
"2008年8月27日","118.15","116.04","119.63","115.64","265.81K","1.62"
"2008年8月26日","116.27","115.50","117.89","112.36","311.87K","1.01"
"2008年8月25日","115.11","114.69","116.06","113.68","174.45K","0.45"
"2008年8月22日","114.59","121.55","121.86","114.18","276.22K","-5.44"
"2008年8月21日","121.18","115.86","122.04","115.40","308.11K","5.39"
"2008年8月20日","114.98","115.11","117.03","112.61","45.77K","0.39"
"2008年8月19日","114.53","113.11","116.65","111.64","149.29K","1.47"
"2008年8月18日","112.87","113.94","115.35","112.00","178.63K","-0.79"
"2008年8月15日","113.77","114.83","115.20","111.34","276.81K","-1.08"
"2008年8月14日","115.01","116.39","117.42","112.59","268.20K","-0.85"
"2008年8月13日","116.00","113.09","117.46","112.87","322.97K","2.65"
"2008年8月12日","113.01","114.53","115.95","112.31","303.79K","-1.26"
"2008年8月11日","114.45","115.20","116.90","112.72","295.33K","-0.65"
"2008年8月8日","115.20","119.90","120.08","114.62","297.33K","-4.02"
"2008年8月7日","120.02","118.80","121.78","117.91","304.20K","1.21"
