-1	最高:78.40
0	
1	63.14
2	63.42
3	62.79
4	64.21
5	63.50
6	63.37
7	63.94
8	63.94
9	63.92
10	66.31
11	65.73
12	66.83
13	68.35
14	68.10
15	67.06
16	65.85
17	66.26
18	67.76
19	68.35
20	67.92
21	66.56
22	64.68
23	65.37
24	65.11
25	63.09
26	62.55
27	62.62
28	61.84
29	61.24
30	59.57
31	57.65
32	58.46
33	59.88
34	61.10
35	61.01
36	60.54
37	62.91
38	61.00
39	61.41
40	61.97
41	63.36
42	63.67
43	62.41
44	61.58
45	60.02
46	60.47
47	59.96
48	61.77
49	63.10
50	62.17
51	63.58
52	62.77
53	60.42
54	60.57
55	61.77
56	63.91
57	64.26
58	64.16
59	66.07
60	66.45
61	67.15
62	66.63
63	66.74
64	66.23
65	67.07
66	67.94
67	67.39
68	68.74
69	68.98
70	68.62
71	69.32
72	70.40
73	71.35
74	72.17
75	71.95
76	75.17
77	73.33
78	72.88
79	71.93
80	70.97
81	71.88
82	73.70
83	74.61
84	72.28
85	69.94
86	70.19
87	69.77
88	70.69
89	72.13
90	73.32
91	72.04
92	69.41
93	69.53
94	68.69
95	69.45
96	68.53
97	69.23
98	71.76
99	69.86
100	71.32
101	71.37
102	72.03
103	71.29
104	70.34
105	72.33
106	72.60
107	72.50
108	70.82
109	70.35
110	71.63
111	70.36
112	68.56
113	69.14
114	69.50
115	69.88
116	68.98
117	68.94
118	70.33
119	70.84
120	70.87
121	71.80
122	71.92
123	72.19
124	73.52
125	73.93
126	75.19
127	75.14
128	74.09
129	73.61
130	74.16
131	74.95
132	76.70
133	77.03
134	75.30
135	73.54
136	72.66
137	73.08
138	74.43
139	75.05
140	73.75
141	73.94
142	74.54
143	73.24
144	74.40
145	74.91
146	75.81
147	75.46
148	74.76
149	76.98
150	76.31
151	76.35
152	74.00
153	74.35
154	73.53
155	73.05
156	71.89
157	70.06
158	71.14
159	72.45
160	72.63
161	71.76
162	72.36
163	72.51
164	70.61
165	69.71
166	70.03
167	70.26
168	69.19
169	68.60
170	67.50
171	67.32
172	66.25
173	65.61
174	63.76
175	63.97
176	63.22
177	63.33
178	63.80
179	61.66
180	60.46
181	61.59
182	60.55
183	61.45
184	61.01
185	62.96
186	62.76
187	62.91
188	61.03
189	58.68
190	59.41
191	60.03
192	59.76
193	59.96
194	58.52
195	57.59
196	57.86
197	58.57
198	59.94
199	58.93
200	57.65
201	58.50
202	56.82
203	58.81
204	59.35
205	61.40
206	60.36
207	60.75
208	58.36
209	58.73
210	58.71
211	57.88
212	59.14
213	60.02
214	58.93
215	59.83
216	61.16
217	59.59
218	58.58
219	58.28
220	58.76
221	56.26
222	55.81
223	58.80
224	60.17
225	59.24
226	60.32
227	60.99
228	62.46
229	63.13
230	63.43
231	62.44
232	62.43
233	62.19
234	62.49
235	62.03
236	61.22
237	61.02
238	61.37
239	62.51
240	63.43
241	62.21
242	63.15
243	63.72
244	62.66
245	62.41
246	61.10
247	60.34
248	60.53
249	61.05
250	最新
