"日期","最新","開市","高","低","成交量","更改%"
"2010年12月31日","91.38","89.67","92.06","89.05","171.01K","1.71"
"2010年12月30日","89.84","90.98","91.40","89.02","209.65K","-1.40"
"2010年12月29日","91.12","91.27","91.53","90.80","117.85K","-0.40"
"2010年12月28日","91.49","90.79","91.67","90.75","104.42K","0.54"
"2010年12月27日","91.00","91.07","91.88","90.51","104.32K","-0.56"
"2010年12月23日","91.51","90.61","91.63","90.33","145.01K","1.14"
"2010年12月22日","90.48","89.99","90.80","89.85","187.39K","0.73"
"2010年12月21日","89.82","89.22","90.10","89.06","187.32K","1.14"
"2010年12月20日","88.81","88.18","88.98","87.26","33.05K","0.90"
"2010年12月17日","88.02","87.87","88.52","87.01","152.40K","0.36"
"2010年12月16日","87.70","88.48","88.65","87.63","221.15K","-1.04"
"2010年12月15日","88.62","88.28","89.09","86.83","355.06K","0.39"
"2010年12月14日","88.28","88.19","88.95","87.74","281.85K","-0.37"
"2010年12月13日","88.61","87.68","89.49","87.44","329.77K","0.93"
"2010年12月10日","87.79","88.51","89.00","87.10","313.84K","-0.66"
"2010年12月9日","88.37","88.55","89.42","87.71","353.96K","0.10"
"2010年12月8日","88.28","88.35","88.99","87.33","383.14K","-0.46"
"2010年12月7日","88.69","88.92","90.76","88.04","462.69K","-0.77"
"2010年12月6日","89.38","89.44","89.76","88.56","293.84K","0.21"
"2010年12月3日","89.19","87.94","89.49","87.14","354.64K","1.35"
"2010年12月2日","88.00","86.80","88.13","86.27","330.64K","1.44"
"2010年12月1日","86.75","83.66","86.95","83.63","340.74K","3.14"
"2010年11月30日","84.11","85.81","85.90","83.55","338.36K","-1.89"
"2010年11月29日","85.73","83.90","85.90","83.59","335.80K","2.35"
"2010年11月26日","83.76","84.21","84.53","82.78","174.18K","-0.12"
"2010年11月24日","83.86","80.99","84.25","80.97","324.51K","3.21"
"2010年11月23日","81.25","81.61","82.10","80.28","351.86K","-0.60"
"2010年11月22日","81.74","82.15","82.87","80.68","290.22K","0.28"
"2010年11月19日","81.51","82.24","82.75","80.59","36.97K","-0.42"
"2010年11月18日","81.85","80.45","82.35","80.44","160.41K","1.75"
"2010年11月17日","80.44","82.44","82.67","80.06","334.53K","-2.31"
"2010年11月16日","82.34","84.58","84.74","82.03","454.83K","-2.97"
"2010年11月15日","84.86","84.87","85.77","84.48","315.26K","-0.02"
"2010年11月12日","84.88","87.73","87.85","84.52","478.82K","-3.34"
"2010年11月11日","87.81","87.85","88.63","87.54","343.01K","0.00"
"2010年11月10日","87.81","86.45","88.21","86.10","472.84K","1.26"
"2010年11月9日","86.72","86.75","87.63","85.48","368.00K","-0.39"
"2010年11月8日","87.06","87.39","87.49","85.96","309.97K","0.24"
"2010年11月5日","86.85","86.60","87.43","85.96","315.28K","0.42"
"2010年11月4日","86.49","85.09","86.83","84.92","318.00K","2.13"
"2010年11月3日","84.69","84.37","85.36","83.57","393.74K","0.94"
"2010年11月2日","83.90","82.88","84.47","82.83","281.83K","1.15"
"2010年11月1日","82.95","81.45","83.86","81.32","358.54K","1.87"
"2010年10月29日","81.43","81.92","82.12","80.56","313.87K","-0.91"
"2010年10月28日","82.18","81.99","82.64","81.50","296.75K","0.29"
"2010年10月27日","81.94","82.48","82.69","80.52","375.25K","-0.74"
"2010年10月26日","82.55","82.47","82.88","81.81","265.93K","0.04"
"2010年10月25日","82.52","82.01","83.28","81.45","339.40K","1.02"
"2010年10月22日","81.69","80.73","82.07","80.41","256.38K","1.40"
"2010年10月21日","80.56","82.55","82.70","80.09","378.29K","-1.48"
"2010年10月20日","81.77","79.48","82.03","79.35","40.71K","2.87"
"2010年10月19日","79.49","82.95","83.21","79.25","151.36K","-4.32"
"2010年10月18日","83.08","81.38","83.28","80.35","225.08K","2.25"
"2010年10月15日","81.25","82.77","83.33","80.75","345.84K","-1.74"
"2010年10月14日","82.69","83.23","84.12","82.21","340.96K","-0.39"
"2010年10月13日","83.01","81.72","83.45","81.68","330.29K","1.64"
"2010年10月12日","81.67","81.94","82.33","80.88","333.58K","-0.66"
"2010年10月11日","82.21","82.95","83.50","81.82","234.32K","-0.54"
"2010年10月8日","82.66","81.43","83.13","80.30","414.08K","1.21"
"2010年10月7日","81.67","83.27","84.43","81.00","450.95K","-1.87"
"2010年10月6日","83.23","82.60","84.09","82.29","349.17K","0.50"
"2010年10月5日","82.82","81.37","82.99","81.15","336.83K","1.66"
"2010年10月4日","81.47","81.68","82.38","80.77","313.31K","-0.13"
"2010年10月1日","81.58","79.84","81.75","79.70","359.94K","2.01"
"2010年9月30日","79.97","77.91","80.18","77.55","418.63K","2.71"
"2010年9月29日","77.86","76.20","78.13","75.60","388.99K","2.21"
"2010年9月28日","76.18","76.23","77.12","75.53","329.35K","-0.44"
"2010年9月27日","76.52","76.47","77.17","75.52","289.64K","0.04"
"2010年9月24日","76.49","74.95","76.68","74.66","288.50K","1.74"
"2010年9月23日","75.18","74.84","75.61","73.58","295.90K","0.63"
"2010年9月22日","74.71","74.79","76.00","73.84","343.85K","1.62"
"2010年9月21日","73.52","74.57","74.60","72.81","34.58K","-1.79"
"2010年9月20日","74.86","73.59","75.45","73.32","132.43K","1.63"
"2010年9月17日","73.66","74.47","75.25","72.75","195.83K","-1.22"
"2010年9月16日","74.57","75.76","75.99","74.11","289.28K","-1.91"
"2010年9月15日","76.02","76.64","76.65","74.66","356.33K","-1.02"
"2010年9月14日","76.80","77.17","77.99","76.21","416.11K","-0.51"
"2010年9月13日","77.19","76.36","78.04","76.36","349.16K","0.97"
"2010年9月10日","76.45","74.40","76.73","74.37","431.37K","2.96"
"2010年9月9日","74.25","74.92","75.96","73.88","372.88K","-0.56"
"2010年9月8日","74.67","73.91","75.39","73.37","359.76K","0.78"
"2010年9月7日","74.09","74.30","74.63","72.63","406.64K","-0.68"
"2010年9月3日","74.60","74.93","75.44","73.20","379.30K","-0.56"
"2010年9月2日","75.02","73.91","75.14","73.11","340.17K","1.50"
"2010年9月1日","73.91","71.70","74.48","71.67","396.61K","2.77"
"2010年8月31日","71.92","74.07","74.73","71.53","469.41K","-3.72"
"2010年8月30日","74.70","75.50","75.58","74.01","260.67K","-0.63"
"2010年8月27日","75.17","73.18","75.59","72.04","477.90K","2.47"
"2010年8月26日","73.36","72.82","73.98","72.54","362.83K","1.16"
"2010年8月25日","72.52","71.47","72.97","70.76","343.41K","1.24"
"2010年8月24日","71.63","72.95","73.05","71.32","340.99K","-2.01"
"2010年8月23日","73.10","73.90","74.48","72.75","252.44K","-0.49"
"2010年8月20日","73.46","74.45","74.60","73.19","33.38K","-1.30"
"2010年8月19日","74.43","75.27","76.10","73.96","123.22K","-1.31"
"2010年8月18日","75.42","75.45","75.74","73.83","247.10K","-0.46"
